service_id,service_type,service_date,notes,pet_id,staff_id
ca7219a9-c3d7-4843-9664-07bd7d4f29e6,nailtrim,2008-01-31 00:00:00+07,Needs a gentle grooming,bfeb2221-9c64-4565-8d41-e875ff2f1fa4,7d5c62ab-dcb8-4dd1-8de9-12c0787c4367
fbfd1d08-2dca-4223-94bf-e2e9cd15ff0c,haircut,2004-09-17 00:00:00+07,Do not bathe if skin is irritated,420baf29-e373-4b20-8494-4d213134e2c2,5cb4db40-4a0b-4504-878a-1813c2d56473
ee7c2e23-e3a7-40fe-a358-cb5fe16a6430,haircut,2004-07-21 00:00:00+07,Check for parasites before grooming,ea05749b-7ec0-40f7-8418-7379ad85c8cb,b415e80c-91a8-44d8-bc4f-7acf2515bf59
82f7862c-324d-4cfb-91fc-3a82b48b7a72,bathing,2020-03-18 00:00:00+07,Maintain gentle temperature for bath,5ae08177-06b5-4f81-aaf6-4cf934ce6094,db4a71d5-0a93-4ba3-a105-ebb64a68f3e7
0a52a902-cec4-45ce-8aaa-afb37fbf6feb,dental_cleaning,2017-11-11 00:00:00+07,Do not trim nails,8555049c-c3ac-4486-b97d-aef91727ac98,eb6f2b61-b3f7-427e-bb7e-a932ad0355ac
d387a515-881d-43b7-9dca-d83e1805fd23,grooming,2016-09-18 00:00:00+07,Sensitive to certain fragrances,77949b3f-457d-4e0d-99e0-a1871877606a,b379e324-1b90-4a95-8983-4fed36413fb9
62b4c713-3dd1-4aad-b4b8-73536851e6e2,dental_cleaning,2020-11-01 00:00:00+07,Do not trim nails,a69a5ad1-d278-403a-b93d-3bfb1be741f6,cf9d8bad-6337-4911-b05b-991c0cd2a52a
a46c7bba-559c-48cf-8dfc-617f332f909a,dental_cleaning,2014-07-15 00:00:00+07,Special care for coat,3f4260a4-790a-491f-95d6-3edbd4a4ea1d,ca3ef9ee-70e3-4531-ab54-57ee5febade5
2e968928-637a-47d7-b902-f90f90dfb941,grooming,2007-11-06 00:00:00+07,Check for ticks or fleas during grooming,f842103b-86a6-4351-a136-a9c30c0afa13,57b602e5-c2c9-4358-b15d-651412f69401
87c1b2e9-f9c3-4f16-81ba-2134bc36da4c,haircut,2000-07-17 00:00:00+07,Requires special treatment for matted fur,420baf29-e373-4b20-8494-4d213134e2c2,ab5db6a6-a808-4948-9d58-9768db0fc32f
